window,train_samples,test_samples,train_bug_rate,test_bug_rate,precision,recall,f1,roc_auc,pr_auc
Window 1,106141,17690,0.264035575319622,0.2565856416054268,0.6716106120743681,0.7083057942278035,0.6894702980913575,0.9064260772005623,0.7554738426351888
Window 2,114986,17690,0.26326683248395455,0.24793668739400793,0.6440217391304348,0.7024623803009576,0.6719738276990186,0.897661440326036,0.7193509778006922
Window 3,123831,17690,0.26297130766932353,0.23612210288298474,0.6166633286601242,0.7371319128561168,0.6715376226826608,0.8982457081513698,0.7132333555514135
Window 4,132676,17690,0.2612228285447255,0.2285472018089316,0.5793802601377199,0.7491961414790996,0.6534354438571891,0.8933519421839174,0.699183068773776
