threshold,precision,recall,f1,roc_auc,pr_auc
0.2,0.48996427963939443,0.9387322796154473,0.6438670019558536,0.9176464373310377,0.7776480564802805
0.25,0.5298006899195093,0.9009287925696594,0.6672298316538949,0.9176464373310377,0.7776480564802805
0.3,0.5668033671487157,0.8557927326055076,0.6819450756346166,0.9176464373310377,0.7776480564802805
0.35,0.6049787492410443,0.8117972950953235,0.6932925132201503,0.9176464373310377,0.7776480564802805
0.4,0.6415016501650165,0.7601433925370702,0.6958013274666269,0.9176464373310377,0.7776480564802805
0.45,0.6773138049236522,0.7083265439139644,0.6924731182795699,0.9176464373310377,0.7776480564802805
0.5,0.7105075053609721,0.6478735538536744,0.6777465268899685,0.9176464373310377,0.7776480564802805
0.55,0.746611909650924,0.592471891803813,0.660670482420278,0.9176464373310377,0.7776480564802805
0.6,0.7812723373838456,0.5343001466514584,0.6346042190826399,0.9176464373310377,0.7776480564802805
0.65,0.8123943661971831,0.4699364510347075,0.5954371838546506,0.9176464373310377,0.7776480564802805
0.7,0.8578784757981462,0.407202216066482,0.5522651933701658,0.9176464373310377,0.7776480564802805
